8,PWMB_CCR3L,7EFEFA,00000000,PWMB compare capture register 3 low byte,,,,,,,,,
8,PWMB_CCR4H,7EFEFB,00000000,PWMB compare capture register 4 high byte,,,,,,,,,
8,PWMB_CCR4L,7EFEFC,00000000,PWMB compare capture register 4 low byte,,,,,,,,,
8,PWMB_BKR,7EFEFD,00000000,PWMB brake register,,MOE,AOE,BKP,BKE,OSSR,OSSI,LOCK1,LOCK0
8,PWMB_DTR,7EFEFE,00000000,PWMB dead time control register,,,,,,,,,
8,PWMB_OISR,7EFEFF,x0x0x0x0,PWMB output idle status register,,-,OIS8,-,OIS7,-,OIS6,-,OIS5
,,,,,,,,,,,,,
V,EXTINT0,FF0003,0,External interrupt 0
V,TIMER0,FF000B,1,Timer 0 interrupt
V,EXTINT1,FF0013,2,External interrupt 1
V,TIMER1,FF001B,3,Timer 1 interrupt
V,UART1,FF0023,4,UART 1 interrupt
V,ADC,FF002B,5,ADC interrupt
V,LVD,FF0033,6,Low-voltage detector interrupt
V,PWMA,3B,7,PWM A interrupt
V,UART2,FF0043,8,UART 2 interrupt
V,SPI,FF004B,9,SPI interrupt
V,EXTINT2,FF0053,10,External interrupt 2 (falling edge only)
V,EXTINT3,FF005B,11,External interrupt 3 (falling edge only)
V,TIMER2,FF0063,12,Timer 2 interrupt
V,EXTINT4,FF0083,16,External interrupt 4 (falling edge only)
V,UART3,FF008B,17,UART 3 interrupt
V,UART4,FF0093,18,UART 4 interrupt
V,TIMER3,FF009B,19,Timer 3 interrupt
V,TIMER4,FF00A3,20,Timer 4 interrupt
V,CMP,FF00AB,21,Comparator interrupt
V,USB,FF00B3,22,USB interrupt
V,PWMB,FF00BB,23,PWM B interrupt
V,I2C,FF00C3,24,I2C interrupt
V,CANBUS,FF00E3,28,CAN interrupt
V,LINBUS,FF00EB,29,LIN interrupt
,,,,,,,,,,,,,
#,F_CPU,24000000UL,,,,,,,,,,,
#,T_CPU,1,,,,,,,,,,,
